"id","title","year","language","authors"
"uc1.$b589678","Imperios coloniales, por Jos? S?inz Ram?rez.","1942","spa",""
"mdp.39015022681392","Ocaso del imperio; ?ltimo p?rrafo de la hispanidad-fe y patriotismo-en Filipinas.","1940","spa","Xavier, Adro 1910-"
"mdp.39015019305161","Viaje a Nueva Castilla / Juan Bernia.","1947","spa","Bernia, Juan"
"uc1.b2848791","El padre Zubieta : biografi?a del excmo. y rvdsm. sen?or obispo titular de Adra y primer vicario aposto?lico de la Amazona Peruana / Wenceslao Fernandez Moro ; pro?logo del Victorino Osende.","1954","spa",""
"mdp.39015023527610","Emoci?n y recuerdo de Espa?a en Filipinas / Blanco Soler.","1949","spa","Blanco Soler, Carlos"
"uc1.b3772722","Vida y poes?a de Gerardo Diego.","1956","spa","Gallego Morell, Antonio 1923-"
"uc1.$b584226","Primitivas relaciones de Espa?a con Asia y Ocean?a : los dos primeros libros impresos en Filipinas, mas un tercero en discordia / Carlos Sanz.","1958","spa","Sanz, Carlos 1903-1979"
"mdp.39015019083735","Los ?ltimos de Filipinas.","1954","spa","Llovet, Enrique"
"mdp.39015046405877","Filipinas, pa?s hisp?nico.","1957","spa","Pi?ar, Blas"
"uc1.$b555734","Navegantes y exploradores; historia general de los descubrimientos y exploraciones a traves de los heroes que los realizaron.","1958","spa","Garci?a Tolsa?, Jesu?s"
"uc1.b3565815","Las naves de Cort?s : poema : le?do en la fiesta literaria del ""D?a del indiano,"" que se celebr? el 17 de agosto de 1947 en el teatro del Gran Casino del Sardinero.","1948","spa",""
"wu.89038964011","Almirantes y hombres de mar, por Carlos Iba?n?ez de Ibero, marque?s de Mulhace?n ... Pro?logo del excmo. Sr. almirante, director del Observatorio astrono?mico de San Fernando, D. Wenceslao Beni?tez.","1942","spa",""
"uc1.b3166418","El Papa de la Hispanidad Pio XII","1959","spa",""
"mdp.39015021276681","La aportaci?n extranjera a las misiones espa?olas del patronato regio.","1946","spa","L?zaro de Aspurz, padre, O.F.M. Cap"
"txu.059173018076120","Habla el mar, obra de lectura, estudio y consulta [por] Teo?filo G. Calatrava.","1948","spa","Calatrava, Teo?filo G"
"mdp.39015034637408","Libros de viaje y libreros de viejo; ensayo bibliogr?fico.","1949","spa","Bello Sanju?n, Florencio"
"uc1.$b322556","Historia del imperio espan?ol y de la hispanidad, por el p. Feliciano Cereceda ... Obra aprobada por la Comisio?n dictaminadora de libros de texto para la ensen?anza media.","1943","spa","Cereceda, Feliciano"
"uc1.31822037844677","El 98 de los que fueron a la guerra","1952","spa",""
"mdp.39015027212391","Bajo el cielo filipino, novela.","1943","spa","Alcal? L?pez, Antonio"
"mdp.39015065465125","Playa dormida; memorias y novela.","1958","spa","Garc?a Sanchiz, Federico 1886-"
"mdp.39015026101876","Dominicos donde nace el sol.","1958","spa","Fern?ndez, Pablo"
"uc1.b2795838","El intercambio de los pai?ses americanos y de filipinas de 1951 a 1959 y su relacio?n con Espan?a / por Francisco de A. Carbonell Torto?s.","1959","spa",""
"txu.059173023449114","Impresiones del viaje de circunnavegacio?n en la fragata blindada ""Numancia.""","1941","spa","Iriondo, Eduardo"
"mdp.39015040123369","Planos de ciudades iberoamericanas y filipinas existentes en el Archivo de Indias; introd. por Fernando Chueca Goitia y Leopoldo Torres Balb?s.","1951","spa","Instituto de Estudios de Administraci?n Local (Spain) Seminario de Urbanismo; Gonzalez, Julio; Torres Balb?s, Leopoldo; Chueca Goitia, Fernando; Archivo General de Indias"
"mdp.39015026714009","Nueva visi?n de la Hispanidad.","1947","spa","Gil Serrano, Rafael"
"uc1.b3135709","La vuelta al mundo de la expedicio?n de la vacuna. Pro?logo de Gregorio Maran?o?n.","1948","spa",""
"mdp.39015019352759","Documentos de Indias, siglos xv-xix; cat?logo de la serie existente en la Secci?n de Diversos [por] M. del Carmen Pescador del Hoyo.","1954","spa","Archivo Hist?rico Nacional (Spain); Pescador del Hoyo, Maria del Carmen"
"uc1.$b150536","Cuentos de Juana (narraciones malayas de las islas Filipinas). Ilustraciones de Luis Lasa.","1943","spa","Gurrea, Adelina"
"uc1.b4115841","La obra de la Orden Hospitalaria de San Juan de Dios en America y Filipinas; trabajo premiado en el certamen literario del IV centenario de San Juan de Dios.","1950","spa","Clavijo y Clavijo, Salvador"
"txu.059173017872732","Elcano.","1942","spa","Arteche, Jose? de"
"uc1.$b182135","General Milla?n Astray, el legionario / Garlos [sic] de Silva.","1956","spa","Silva, Carlos de"
"wu.89095902151","Grandeza y destino de Espan?a / Ricardo del Arco y Garay ; pro?logo de Federico Garci?a Sanchi?z.","1942","spa","Arco y Garay, Ricardo del b. 1888"
"mdp.39015046405695","Rizal ante la historia.","1955","spa","Rodr?guez Bachiller, Angel"
"mdp.39015027791287","Discursos y ensayos; temario y vida filipina. Pr?logo del Dr. D. Gregorio Mara??n.","1955","spa","Briones, Manuel C"
"uva.x004385736","Magallanes y Elcano : conquistadores del mar / portada de R. Riera.","1942","spa","Mallorqui Figuerola, Jose?"
"mdp.39015026068323","El padre Jose? de Acosta, S. I., y las misiones.","1942","spa","Lopetegui, Leo?n 1904-; Instituto Gonzalo Ferna?ndez de Oviedo"
"mdp.39015030385408","Cuentos populares espa?oles recogidos de la tradici?n oral de Espa?a.","1947","spa","Espinosa, Aurelio Macedonio 1880-1958 ed"
"txu.059173026796828","La masoneri?a en Espan?a (apuntes para una interpretacio?n maso?nica de la historia patria)","1944","spa",""
"uc1.b3885670","Lopez de Legazpi; primer adelantado y conquistador de Filipinas.","1950","spa",""
